chr1	146831696
chr10	72634063
chr10_GL383545v1_alt	102258
chr10_GL383546v1_alt	195744
chr10_KI270824v1_alt	125823
chr10_KI270825v1_alt	75829
chr11	76525500
chr11_GL383547v1_alt	97929
chr11_JH159136v1_alt	121152
chr11_JH159137v1_alt	120226
chr11_KI270721v1_random	25556
chr11_KI270826v1_alt	92225
chr11_KI270827v1_alt	38168
chr11_KI270829v1_alt	140160
chr11_KI270830v1_alt	93353
chr11_KI270831v1_alt	107497
chr11_KI270832v1_alt	108982
chr11_KI270902v1_alt	49878
chr11_KI270903v1_alt	123699
chr11_KI270927v1_alt	106827
chr12	75879918
chr12_GL383549v1_alt	64675
chr12_GL383550v2_alt	112699
chr12_GL383551v1_alt	100080
chr12_GL383552v1_alt	67262
chr12_GL383553v2_alt	90948
chr12_GL877875v1_alt	81592
chr12_GL877876v1_alt	239607
chr12_KI270833v1_alt	33457
chr12_KI270834v1_alt	56268
chr12_KI270835v1_alt	124360
chr12_KI270836v1_alt	36689
chr12_KI270837v1_alt	23784
chr12_KI270904v1_alt	346829
chr13	69181133
chr13_KI270838v1_alt	186771
chr13_KI270839v1_alt	68159
chr13_KI270840v1_alt	116172
chr13_KI270841v1_alt	99554
chr13_KI270842v1_alt	17357
chr13_KI270843v1_alt	54678
chr14	66871814
chr14_GL000009v2_random	128317
chr14_GL000194v1_random	123291
chr14_GL000225v1_random	161896
chr14_KI270722v1_random	153286
chr14_KI270723v1_random	21808
chr14_KI270724v1_random	21625
chr14_KI270725v1_random	100842
chr14_KI270726v1_random	26648
chr14_KI270844v1_alt	224368
chr14_KI270845v1_alt	96582
chr14_KI270846v1_alt	776878
chr14_KI270847v1_alt	819065
chr15	63960107
chr15_GL383554v1_alt	150387
chr15_GL383555v2_alt	175516
chr15_KI270727v1_random	251204
chr15_KI270848v1_alt	199249
chr15_KI270849v1_alt	156475
chr15_KI270850v1_alt	205251
chr15_KI270851v1_alt	141981
chr15_KI270852v1_alt	262413
chr15_KI270905v1_alt	3072412
chr15_KI270906v1_alt	118852
chr16	54554636
chr16_GL383556v1_alt	111925
chr16_GL383557v1_alt	53901
chr16_KI270728v1_random	1359425
chr16_KI270853v1_alt	1631577
chr16_KI270854v1_alt	74663
chr16_KI270855v1_alt	113461
chr16_KI270856v1_alt	34107
chr17	46916346
chr17_GL000205v2_random	134285
chr17_GL000258v2_alt	1000625
chr17_GL383563v3_alt	238703
chr17_GL383564v2_alt	54027
chr17_GL383565v1_alt	109267
chr17_GL383566v1_alt	54937
chr17_JH159146v1_alt	140962
chr17_JH159147v1_alt	39803
chr17_JH159148v1_alt	54173
chr17_KI270729v1_random	249736
chr17_KI270730v1_random	106531
chr17_KI270857v1_alt	1495008
chr17_KI270858v1_alt	115235
chr17_KI270859v1_alt	56470
chr17_KI270860v1_alt	90486
chr17_KI270861v1_alt	100819
chr17_KI270862v1_alt	224236
chr17_KI270907v1_alt	83847
chr17_KI270908v1_alt	733137
chr17_KI270909v1_alt	164475
chr17_KI270910v1_alt	78044
chr18	44428265
