chr1	138071094
chr10	67874706
chr11	70682704
chr11_gl000202_random	16608
chr12	70652109
chr13	65182299
chr14	63196982
chr15	60909770
chr16	51278366
chr17	41543806
chr17_gl000203_random	17521
chr17_gl000204_random	21163
chr17_gl000205_random	120084
chr17_gl000206_random	15648
chr18	38407337
chr18_gl000207_random	459
chr19	35517589
chr19_gl000208_random	92098
chr19_gl000209_random	73939
chr1_gl000191_random	65383
chr1_gl000192_random	284565
chr2	120030016
chr20	33563892
chr21	29833370
chr21_gl000210_random	10119
chr22	33664642
chr3	100761059
chr4	98890985
chr4_gl000193_random	108512
chr4_gl000194_random	107687
chr5	92080966
chr6	85919154
chr7	81462562
chr7_gl000195_random	99691
chr8	75233754
chr8_gl000196_random	29575
chr8_gl000197_random	11385
chr9	81478535
chr9_gl000198_random	77631
chr9_gl000199_random	167663
chr9_gl000200_random	95967
chr9_gl000201_random	7059
chrX	95898879
chrY	49783032
